"Date","서울시 평균","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구","","","",""
"2022-01-01","15","13","16","17","12","14","14","7","17","20","17","22","16","14","19","13","10","15","15","17","14","15","15","16","18","13","","","",""
"2022-01-02","23","22","26","25","21","20","23","18","19","26","23","30","25","20","24","21","18","21","23","26","22","23","24","26","26","22","","","",""
"2022-01-03","15","14","17","14","14","13","16","11","11","16","15","20","16","16","16","14","11","13","14","19","16","16","14","16","16","13","","","",""
"2022-01-04","20","18","21","20","17","18","19","14","","23","19","24","21","16","21","19","15","17","20","22","19","20","21","23","22","19","","","",""
"2022-01-05","30","27","34","27","27","27","30","24","","37","30","38","33","29","30","28","23","27","31","35","31","30","28","34","32","28","","","",""
"2022-01-06","32","30","39","28","31","31","33","27","","36","28","37","36","32","34","32","28","25","34","38","34","35","30","36","36","29","","","",""
"2022-01-07","40","35","41","40","38","40","37","36","","49","39","57","44","33","42","38","30","35","42","46","44","38","32","37","40","37","","","",""
"2022-01-08","43","43","52","48","22","42","46","37","44","49","47","53","42","40","47","40","36","39","39","48","44","41","41","48","48","45","","","",""
"2022-01-09","93","86","105","98","86","88","92","77","99","101","103","104","99","82","97","95","78","80","89","96","91","86","88","101","101","91","","","",""
"2022-01-10","68","65","76","73","65","63","68","61","72","77","66","91","69","60","70","69","56","59","69","76","69","63","65","73","72","65","","","",""
"2022-01-11","19","17","20","23","17","17","18","14","20","21","16","21","20","19","18","16","15","15","20","21","19","19","19","22","20","18","","","",""
"2022-01-12","16","14","17","16","15","16","16","11","20","18","14","16","19","15","16","14","12","11","15","20","17","18","18","19","19","15","","","",""
"2022-01-13","13","12","13","14","12","11","14","9","15","15","12","14","14","12","13","11","11","12","12","16","13","13","14","15","14","12","","","",""
"2022-01-14","16","15","18","15","16","14","16","10","20","19","15","18","17","14","17","13","14","14","15","19","15","14","17","18","17","14","","","",""
"2022-01-15","26","25","28","28","22","23","26","19","27","29","27","30","26","24","23","27","22","26","25","29","27","26","24","30","31","24","","","",""
"2022-01-16","27","25","29","31","23","23","27","16","26","30","39","28","27","23","27","24","23","24","25","44","24","24","26","29","27","26","","","",""
"2022-01-17","14","13","15","15","12","12","13","9","15","16","12","16","15","12","14","14","12","13","13","17","14","14","14","15","14","14","","","",""
"2022-01-18","20","19","23","23","19","18","21","17","23","24","19","21","21","19","18","16","18","18","20","24","20","21","20","20","22","20","","","",""
"2022-01-19","31","30","35","33","28","27","31","28","32","30","32","33","31","30","23","31","27","28","30","35","32","30","33","36","37","31","","","",""
"2022-01-20","28","27","33","27","25","24","28","23","29","31","25","33","29","27","23","26","25","23","30","32","27","27","29","32","35","28","","","",""
"2022-01-21","26","24","26","24","28","23","24","28","38","29","26","26","32","23","17","27","22","24","27","37","28","27","22","29","28","21","","","",""
"2022-01-22","39","32","34","40","43","35","34","38","48","46","41","39","42","40","26","39","29","36","32","58","43","34","41","42","42","32","","","",""
"2022-01-23","48","45","53","51","48","46","52","48","55","52","47","47","52","46","28","51","41","42","46","52","48","45","50","51","51","44","","","",""
"2022-01-24","16","11","11","15","22","12","14","","17","19","17","16","18","17","21","10","11","13","16","24","19","15","15","16","16","11","","","",""
"2022-01-25","20","19","19","14","20","20","18","20","24","20","20","19","22","19","10","22","17","18","22","25","20","32","25","22","22","10","","","",""
"2022-01-26","41","38","44","39","40","38","42","40","44","39","35","40","43","39","46","43","37","35","43","50","42","42","43","46","44","39","","","",""
"2022-01-27","41","37","47","47","39","37","43","37","43","51","41","39","43","37","41","38","36","37","42","51","42","34","39","45","43","41","","","",""
"2022-01-28","21","18","25","27","18","17","","15","21","25","34","19","20","17","19","17","17","16","21","24","20","21","19","22","21","21","","","",""
"2022-01-29","16","15","17","17","16","15","15","12","19","17","14","16","17","15","16","14","14","12","16","20","17","18","16","18","17","15","","","",""
"2022-01-30","18","17","19","20","16","16","19","13","21","23","17","18","19","16","22","16","15","16","19","22","18","19","16","20","19","17","","","",""
"2022-01-31","20","18","22","23","17","17","21","17","22","23","22","19","21","18","20","20","17","18","20","21","20","20","20","22","21","20","","","",""
"2022-02-01","33","31","37","40","32","32","34","32","37","42","34","32","38","30","34","14","31","32","37","19","36","37","36","38","36","34","","","",""
"2022-02-02","22","19","24","24","21","19","21","19","22","27","19","20","22","21","24","20","18","17","22","","22","23","21","31","23","21","","","",""
"2022-02-03","14","12","14","14","13","12","13","9","15","15","13","12","15","13","22","11","12","11","14","18","15","15","14","15","15","13","","","",""
"2022-02-04","13","10","18","13","12","10","13","9","14","13","12","11","14","12","17","11","10","9","12","17","13","14","13","13","12","11","","","",""
"2022-02-05","10","9","9","10","9","8","10","5","11","10","9","10","11","9","10","7","8","7","9","13","10","11","12","12","13","9","","","",""
"2022-02-06","11","10","11","11","9","9","11","7","13","13","9","11","12","10","17","9","9","8","11","15","11","12","11","12","11","10","","","",""
"2022-02-07","15","14","15","17","11","13","15","11","15","18","15","17","16","13","18","14","13","13","15","17","14","16","15","18","16","14","","","",""
"2022-02-08","19","17","20","20","16","15","22","16","19","21","19","18","20","19","19","17","16","17","19","22","18","19","18","20","20","18","","","",""
"2022-02-09","24","22","23","23","23","22","22","25","26","30","24","24","29","23","24","26","20","21","25","30","25","23","23","26","26","20","","","",""
"2022-02-10","33","31","34","34","31","33","33","34","33","41","34","32","36","31","29","33","27","27","31","38","35","33","27","34","33","31","","","",""
"2022-02-11","63","57","62","63","59","62","63","65","70","69","61","62","70","64","68","62","52","59","59","71","68","61","64","68","68","56","","","",""
"2022-02-12","67","62","67","69","60","63","69","68","71","70","63","66","74","66","92","67","57","60","61","71","68","68","60","70","71","63","","","",""
"2022-02-13","39","36","40","40","39","37","39","39","40","45","37","37","44","37","33","37","34","37","38","45","42","40","37","41","39","35","","","",""
"2022-02-14","31","29","33","34","28","31","29","31","34","35","31","26","37","30","25","20","27","29","30","35","33","31","36","33","32","30","","","",""
"2022-02-15","24","21","26","26","32","20","24","18","31","29","22","22","25","19","21","18","21","21","23","26","23","25","24","27","25","23","","","",""
"2022-02-16","19","17","19","21","17","17","18","14","19","23","17","17","24","16","17","16","17","19","19","26","19","21","19","21","21","18","","","",""
"2022-02-17","19","18","20","21","17","18","19","14","21","22","17","19","24","17","19","14","16","18","18","23","20","21","18","23","22","19","","","",""
"2022-02-18","28","25","29","29","26","25","28","24","30","35","29","27","32","25","24","25","22","25","26","31","28","28","39","33","29","25","","","",""
"2022-02-19","27","25","26","26","28","25","25","26","29","29","24","24","31","26","37","26","21","22","25","33","29","29","33","30","30","23","","","",""
"2022-02-20","14","13","14","17","13","13","13","10","13","19","14","13","16","12","13","8","12","12","14","17","14","16","15","17","15","13","","","",""
"2022-02-21","14","13","14","15","12","13","14","11","14","18","14","13","17","12","14","11","11","14","13","17","14","16","15","17","16","13","","","",""
"2022-02-22","14","13","14","16","13","13","14","10","15","17","12","14","16","12","14","9","12","12","13","17","16","16","16","17","15","13","","","",""
"2022-02-23","12","11","11","14","11","11","11","7","12","15","11","11","14","10","14","7","9","10","12","16","13","13","13","15","13","11","","","",""
"2022-02-24","16","15","17","19","14","15","16","13","16","21","17","16","18","15","19","10","13","16","15","19","17","17","14","19","18","17","","","",""
"2022-02-25","49","47","53","63","45","43","51","42","50","63","58","50","53","46","40","50","38","47","40","51","49","42","46","54","54","51","","","",""
"2022-02-26","47","43","50","53","43","50","46","51","46","54","51","45","49","41","50","51","36","43","38","47","47","40","53","47","46","46","","","",""
"2022-02-27","23","20","22","23","18","22","22","22","22","28","22","21","24","19","35","20","18","23","22","22","21","24","26","26","24","22","","","",""
"2022-02-28","17","15","17","18","15","13","16","17","15","19","19","16","16","15","22","15","13","18","14","19","17","17","21","19","17","15","","","",""
"2022-03-01","22","20","26","25","19","20","25","22","21","27","26","21","23","19","19","23","18","23","21","23","21","21","28","24","22","21","","","",""
